,q_gender,q_age,q_occupation,q_is_game_developer,q_playing_on#consoles,q_playing_on#mobile_consoles,q_playing_on#mobile_devices,q_playing_on#pc,q_playing_on#tv,q_playing_on#virtual_reality,q_play_strategy_games,q_strategy_games_like#4x,q_strategy_games_like#city_builders,q_strategy_games_like#decision_driven,q_strategy_games_like#grand_strategies,q_strategy_games_like#roguelike,q_strategy_games_like#rts,q_strategy_games_like#tactics,q_strategy_games_like#tycoon,q_know_about_new_games#advertising,q_know_about_new_games#coworkers,q_know_about_new_games#do_not_search,q_know_about_new_games#free_search,q_know_about_new_games#friends,q_know_about_new_games#game_stores,q_know_about_new_games#personalized_news,q_know_about_new_games#social_networks,q_know_about_new_games#specialized_sites,q_know_about_new_games#video_services,q_playing_effort,q_like_in_games#achievements,q_like_in_games#changing_game_world,q_like_in_games#collecting,q_like_in_games#creating_strategies,q_like_in_games#customizing,q_like_in_games#exploring,q_like_in_games#looting,q_like_in_games#messing_with_game_rules,q_like_in_games#overcoming_challenges,q_like_in_games#risking,q_like_in_games#roleplaying,q_like_in_games#solving_puzzles,q_like_in_games#story,q_like_in_games#what_if_scenarious,q_rpg_elements,q_multiple_channels_esential,q_channels#augmented_reality,q_channels#chats,q_channels#magic_creatures,q_channels#magic_devices,q_channels#mobile_application,q_channels#neural_implants,q_channels#news_in_vr,q_channels#online_radio,q_channels#social_networks,q_channels#traditional_newspaper,q_channels#traditional_radio,q_channels#traditional_tv,q_channels#web_portal,q_channels#youtube,q_realistic_work,q_concurrent_agencies,q_max_agency_size,q_budget_effort,q_relationships_effort,q_office_effort,q_plot_style#adventure,q_plot_style#conspirology,q_plot_style#cyberpunk,q_plot_style#documentary,q_plot_style#fairy_tale,q_plot_style#fantasy,q_plot_style#historic,q_plot_style#mystery,q_plot_style#noir,q_plot_style#paranormal,q_plot_style#scifi,q_plot_style#urban_legends,q_morale_complexity,q_world_style#bright,q_world_style#colorful,q_world_style#complex,q_world_style#dark,q_world_style#dark_humorous,q_world_style#depressing,q_world_style#dull,q_world_style#dystopian,q_world_style#gray,q_world_style#happy,q_world_style#humorous,q_world_style#imaginative,q_world_style#inspirational,q_world_style#polite,q_world_style#realistic,q_world_style#sarcastic,q_world_style#simple,q_world_style#utopian
68,male,31,employment,no,0,0,0,1,0,0,5,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,5,10,0,0,1,0,0,0,0,0,1,1,0,0,1,1,10,few,up_to_25,10,5,10,0,1,1,0,0,0,0,1,0,1,0,0,10,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
69,male,23,employment,yes,0,0,0,1,0,0,10,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,10,7,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,few,up_to_25,4,7,7,0,1,1,0,1,0,0,0,1,0,0,0,8,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
71,male,39,employment,no,1,0,0,1,0,0,9,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,10,0,0,1,1,0,1,0,0,0,0,0,1,1,0,10,8,0,0,1,1,0,0,0,0,0,1,0,1,1,0,5,,up_to_50,5,5,9,1,0,0,0,0,1,0,1,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
72,male,29,employment,no,0,0,1,1,0,0,7,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,9,1,0,1,0,0,0,0,0,0,0,1,1,1,0,9,9,1,0,0,0,1,1,0,1,0,0,0,0,0,0,7,few,up_to_25,6,8,7,0,0,0,0,0,1,0,0,1,0,1,1,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
73,male,,employment,no,0,0,0,1,0,0,8,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,5,0,0,0,1,0,0,0,1,0,1,0,0,1,1,7,7,0,1,0,0,0,0,0,1,0,1,1,1,0,0,10,few,up_to_25,7,7,4,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
74,male,14,student,no,1,0,1,1,0,0,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,1,1,0,1,0,1,0,1,0,8,8,0,0,0,0,1,0,0,0,1,0,1,1,1,0,5,few,small_or_automanage,6,7,5,1,0,0,0,0,0,1,1,0,0,1,0,9,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
75,male,35,employment,no,0,0,1,1,0,0,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,1,0,1,0,1,0,0,0,0,0,1,1,0,9,9,0,1,1,1,0,0,0,0,1,0,0,1,0,0,9,few,up_to_10,8,6,4,0,1,1,0,0,1,0,0,0,0,1,0,9,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
76,female,,student,no,0,0,1,0,0,0,10,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,1,1,1,6,6,0,0,0,0,0,0,1,1,0,1,1,1,0,0,10,the_more_the_better,bureaucratic_empire,9,10,10,0,0,0,1,0,0,1,1,1,0,0,0,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
77,male,36,employment,yes,0,0,1,1,0,0,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,few,up_to_25,3,4,6,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
78,non_binary_other,20,student,no,0,0,0,1,0,0,10,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,9,1,1,0,0,0,1,0,0,0,0,1,0,0,0,10,6,0,0,0,0,0,0,0,1,1,1,1,1,0,0,10,the_more_the_better,up_to_25,3,10,6,0,1,0,0,0,0,0,1,0,1,0,1,10,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
80,male,55,employment,no,0,0,0,1,0,0,9,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,8,1,0,0,0,0,1,0,0,1,0,0,1,1,0,7,9,0,1,0,0,0,1,0,0,0,1,0,1,0,1,10,few,up_to_25,8,9,5,0,1,1,0,0,0,0,0,1,1,0,0,10,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
81,male,38,employment,no,0,0,0,1,0,0,9,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,8,1,0,0,1,0,1,0,0,0,0,0,1,1,0,9,8,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,few,bureaucratic_empire,8,6,7,1,0,0,0,0,1,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
82,male,33,employment,no,0,0,0,1,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,8,0,0,0,0,0,1,0,0,1,0,0,1,1,1,8,8,1,0,0,0,0,0,1,0,1,0,0,1,1,0,10,few,up_to_10,2,7,2,0,0,1,0,0,1,0,0,1,0,1,0,8,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
84,male,23,employment,no,0,0,1,1,0,0,8,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,few,up_to_50,10,8,8,0,0,0,0,0,1,1,1,0,0,1,0,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,male,30,unemployed,no,0,0,1,1,0,1,7,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,7,1,0,1,1,0,1,1,0,0,0,0,0,0,0,6,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,few,up_to_25,8,8,9,0,0,1,0,0,0,1,0,0,0,1,1,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
87,male,21,sabbatical,no,1,1,1,1,0,0,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,7,0,0,1,0,0,1,1,0,0,0,1,0,1,0,10,8,1,0,0,0,0,1,1,0,1,0,0,0,0,1,8,few,up_to_25,4,8,6,0,0,1,0,0,0,0,0,1,0,1,1,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
88,male,37,employment,no,0,0,0,1,0,0,8,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,0,1,1,1,0,0,0,0,1,0,1,0,9,5,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,few,up_to_25,8,8,7,0,1,0,1,0,0,0,0,0,1,0,1,8,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
89,female,31,employment,no,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,1,1,0,7,6,0,0,0,0,1,0,0,1,1,1,0,0,0,1,8,,up_to_100,4,7,4,0,0,0,0,0,0,0,1,1,1,0,1,7,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
91,male,31,employment,no,0,0,0,1,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,10,6,1,0,1,1,0,1,1,0,0,0,0,0,0,0,5,few,up_to_50,4,9,7,0,0,0,0,0,1,0,1,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
92,female,35,employment,no,0,0,1,1,0,0,8,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,1,0,10,10,0,0,1,0,1,1,0,1,1,0,0,0,0,0,5,,bureaucratic_empire,4,6,6,0,1,0,1,0,0,1,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,male,14,student,yes,0,0,0,1,0,0,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,1,0,0,1,1,1,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,the_more_the_better,bureaucratic_empire,7,7,8,1,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
94,male,40,employment,no,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,1,0,0,1,0,1,0,0,1,5,7,0,0,0,0,0,1,1,0,0,1,0,0,1,1,7,few,up_to_25,6,6,5,0,0,1,1,0,0,0,0,0,1,0,1,8,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
96,male,19,student,yes,0,0,0,1,0,0,5,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,0,1,0,0,1,1,0,0,0,9,9,0,0,0,0,0,0,0,1,1,0,0,1,0,1,10,few,up_to_50,6,9,4,1,1,0,0,0,0,0,1,1,0,0,0,10,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
97,male,43,employment,no,0,0,1,1,0,1,6,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,0,1,0,1,1,1,0,0,0,0,0,0,0,1,5,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,few,up_to_100,10,10,10,0,0,1,0,0,0,0,0,1,0,1,1,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
98,male,18,student,no,1,0,1,1,1,0,9,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,10,1,0,1,0,0,1,0,1,0,0,1,0,0,0,10,8,0,1,0,0,1,0,0,0,1,0,0,0,1,1,8,the_more_the_better,up_to_50,5,9,8,1,0,1,0,0,1,0,0,0,0,1,0,10,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
100,male,27,unemployed,no,0,0,0,1,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,1,0,0,0,0,1,1,0,0,1,0,10,the_more_the_better,bureaucratic_empire,10,10,10,0,1,0,0,0,0,0,1,1,1,0,0,10,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
101,male,42,employment,no,1,1,1,1,0,0,10,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,8,0,0,1,1,0,1,0,0,0,0,1,0,1,0,9,10,0,0,0,0,0,0,0,1,1,1,0,0,1,1,7,few,up_to_50,7,7,9,0,0,0,0,0,0,1,1,0,0,1,1,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
103,prefer_not_to_say,34,employment,no,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,1,1,1,0,0,1,0,0,8,5,0,0,0,0,0,0,0,1,0,1,1,1,0,1,8,few,up_to_10,4,6,8,0,0,0,0,0,0,0,0,1,1,1,1,8,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
104,male,30,employment,yes,0,0,1,1,0,0,7,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,8,0,1,0,0,1,1,1,0,0,0,0,1,0,0,10,6,1,0,0,0,1,0,0,0,0,1,0,1,0,1,8,few,up_to_25,3,7,10,0,1,1,0,0,0,0,0,0,1,0,1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
105,male,23,employment,no,0,0,0,1,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,1,0,0,1,0,0,0,1,0,10,8,0,0,0,0,0,0,0,0,1,1,0,1,1,1,10,few,up_to_100,8,8,9,1,0,0,0,0,0,0,1,0,1,0,1,7,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
108,male,25,unemployed,no,0,0,0,1,0,0,8,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,5,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,8,few,up_to_50,7,8,5,0,1,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
109,male,24,student,no,0,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,0,1,1,1,0,10,9,0,0,1,1,0,0,0,0,0,1,1,0,0,0,9,,small_or_automanage,6,9,9,0,0,0,1,0,1,0,0,1,0,1,0,10,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
110,male,26,employment,no,0,0,0,1,0,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0,1,0,1,1,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,,,8,8,1,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
111,male,25,employment,yes,0,1,0,1,0,0,5,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,6,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,8,0,1,0,0,0,0,0,0,1,1,0,1,1,0,4,few,up_to_25,5,5,8,0,0,1,0,0,0,0,0,1,1,0,1,7,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
113,male,30,employment,no,0,0,0,1,0,0,10,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,1,0,1,0,1,0,0,0,0,1,0,0,1,9,10,1,0,0,0,0,0,1,0,1,0,0,1,1,0,10,few,up_to_25,3,10,3,0,1,0,0,0,0,1,0,0,1,0,1,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
114,male,36,employment,no,1,1,1,1,1,1,9,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,8,1,0,0,0,0,1,0,0,1,0,1,0,0,0,10,8,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,few,up_to_50,7,7,7,1,0,0,0,0,1,0,1,0,0,1,0,4,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
115,male,34,employment,no,0,0,0,1,0,0,9,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,8,0,1,0,1,0,1,0,0,1,0,0,0,1,0,7,7,0,1,0,0,0,0,0,0,1,0,0,1,1,1,7,few,bureaucratic_empire,6,8,7,0,1,0,0,0,0,0,0,1,0,1,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
116,male,26,employment,no,0,0,0,1,0,0,8,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,1,0,1,0,0,1,1,1,0,0,0,6,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,few,up_to_10,6,8,3,1,1,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,male,27,employment,no,0,0,1,1,0,0,8,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,7,0,1,0,1,0,0,0,0,0,0,1,0,1,1,8,4,0,0,0,0,1,0,0,0,1,1,1,1,0,0,5,few,up_to_25,7,9,6,0,0,1,0,0,0,1,0,1,0,1,0,7,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
118,male,36,employment,no,0,0,0,1,0,0,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,7,1,0,0,1,1,0,0,0,1,0,0,0,1,0,7,8,1,0,0,0,0,1,1,0,1,0,0,0,0,0,10,few,up_to_50,7,8,3,0,0,1,0,0,0,0,0,1,0,1,0,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
119,female,40,employment,no,0,0,1,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,10,10,0,0,0,0,1,0,0,0,1,1,0,1,1,0,10,few,bureaucratic_empire,5,8,8,0,0,0,1,0,0,1,1,0,0,0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
120,male,35,employment,yes,0,0,0,1,0,0,9,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,2,0,0,0,0,1,0,0,1,1,0,0,0,1,1,9,few,bureaucratic_empire,4,2,7,0,1,1,0,0,0,1,0,0,0,1,0,10,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
121,male,42,employment,no,0,1,0,1,0,0,8,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0,1,0,9,10,0,0,0,0,1,0,0,1,0,1,1,1,0,0,5,few,up_to_25,3,8,8,0,0,1,0,0,1,0,0,1,1,0,0,8,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
122,male,44,employment,yes,0,0,0,1,0,0,9,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,9,0,0,0,1,0,1,0,0,2,0,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,few,up_to_25,8,10,4,0,1,1,0,0,0,0,0,1,0,0,1,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
123,non_binary_other,35,student,no,1,0,0,1,0,0,10,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,6,0,1,0,1,0,1,0,0,0,0,1,0,0,1,10,10,1,0,1,0,1,1,0,0,0,1,0,0,0,0,6,few,up_to_50,7,10,10,0,0,0,0,0,1,0,0,1,1,1,0,5,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
124,male,18,student,no,0,0,1,0,0,0,8,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,10,0,0,0,1,0,1,0,1,0,0,0,0,0,1,6,10,0,0,0,0,0,1,1,1,0,1,0,1,0,0,10,few,up_to_50,6,8,5,0,0,1,0,0,0,0,0,1,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
125,male,26,employment,no,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,1,0,1,0,1,0,9,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0,10,few,up_to_25,8,5,10,1,0,0,0,0,1,0,0,0,1,1,0,8,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
126,male,28,employment,no,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,1,1,0,1,0,0,0,1,0,0,0,0,10,8,0,0,0,0,1,0,0,1,1,1,0,1,0,0,9,few,up_to_25,7,7,10,0,0,1,0,0,0,0,2,0,1,0,0,7,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
127,male,25,employment,no,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,1,1,0,1,1,0,0,0,0,0,0,0,7,5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,7,the_more_the_better,up_to_25,6,6,5,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
128,male,42,employment,no,0,0,1,1,0,0,8,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,8,1,0,1,0,0,1,0,0,0,0,1,1,0,0,8,5,0,0,0,0,1,0,0,0,0,1,1,1,1,0,8,few,bureaucratic_empire,8,4,8,1,0,1,0,0,0,0,1,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
129,male,52,unemployed,no,0,0,1,1,0,1,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,8,1,0,0,0,0,2,0,0,0,0,1,0,1,0,10,8,0,0,0,0,1,0,0,0,1,1,1,1,0,0,8,the_more_the_better,up_to_25,4,7,3,0,1,1,0,0,0,0,0,0,0,1,1,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
130,prefer_not_to_say,20,sabbatical,yes,0,0,1,1,0,0,8,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,1,0,1,0,0,0,0,1,0,1,0,0,0,3,6,0,0,0,1,0,0,1,1,0,1,0,1,0,0,10,few,up_to_10,8,9,7,0,0,0,0,0,0,1,1,0,1,0,1,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
131,male,20,student,no,1,0,1,1,0,0,7,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,9,0,1,0,1,0,1,0,0,1,0,0,0,1,0,8,10,0,0,0,1,0,0,1,0,1,1,0,1,0,0,10,the_more_the_better,bureaucratic_empire,7,10,8,1,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
132,male,29,employment,no,0,0,1,1,0,0,9,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,7,1,0,0,0,0,0,0,0,1,0,0,1,1,1,8,9,0,0,0,0,0,0,0,1,0,1,1,1,1,0,8,few,up_to_50,8,7,7,0,0,1,0,0,0,0,0,0,1,1,1,7,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
133,male,25,employment,no,0,0,0,1,0,0,10,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5,6,0,1,0,0,1,0,0,0,1,0,0,1,0,0,7,few,up_to_50,7,6,6,0,1,1,0,0,0,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134,male,24,employment,no,1,0,0,1,0,0,8,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7,0,1,0,0,0,1,0,0,0,0,0,1,1,1,10,10,0,1,0,0,0,0,0,0,1,1,0,1,0,1,3,few,up_to_25,7,8,7,1,0,0,0,0,1,1,1,0,0,0,0,9,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
135,female,23,employment,no,0,0,1,1,0,0,10,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,7,0,0,0,1,0,1,1,0,1,0,0,0,1,0,7,10,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,the_more_the_better,bureaucratic_empire,10,10,10,0,0,0,0,1,1,1,0,1,0,0,0,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
136,male,34,employment,no,0,0,0,1,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,3,1,0,0,0,1,1,0,0,1,0,0,1,0,0,10,the_more_the_better,bureaucratic_empire,10,10,10,0,1,1,0,0,0,0,0,1,1,0,0,10,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
137,male,20,employment,yes,0,0,0,1,0,0,10,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,7,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,single,up_to_25,5,10,10,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,male,37,sabbatical,no,0,0,0,1,0,0,10,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,3,10,0,1,0,0,0,1,0,0,1,1,0,1,0,0,10,few,up_to_25,8,7,7,0,1,0,0,0,0,0,1,1,0,1,0,8,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
140,male,,student,no,0,0,1,1,0,0,5,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4,1,0,0,1,0,1,0,0,0,0,1,1,0,0,8,7,1,1,0,1,0,0,0,1,0,0,1,0,0,0,5,few,up_to_25,5,5,5,1,0,0,0,0,1,1,0,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
141,male,26,employment,no,0,0,0,1,0,0,9,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,8,0,1,0,1,0,0,0,1,0,0,1,0,0,1,8,4,1,0,0,0,0,1,0,1,0,1,0,0,1,0,10,,up_to_25,9,7,4,0,0,1,0,0,1,1,0,1,0,0,0,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
142,prefer_not_to_say,,employment,no,0,0,0,1,0,0,10,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,8,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,10,the_more_the_better,bureaucratic_empire,10,10,1,0,0,0,1,0,0,1,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
